Accession,FBgn
M9PB84,FBgn0004867
X2JF59,FBgn0040309
Q9W0T7,FBgn0035111
A0A0B4LHN5,FBgn0261287
M9PD14,FBgn0005633
Q9VC05,FBgn0020626
Q9VKD5,FBgn0032391
Q9VYH6,FBgn0030440
Q86NP5,FBgn0053233
O62526,FBgn0025111
Q9VQE0,FBgn0026479
Q9VCV4,FBgn0024958
Q9VTP4,FBgn0036213
X2J8Y6,FBgn0011559
Q9VGJ4,FBgn0265271
Q9VED6,FBgn0038565
Q9VHR8,FBgn0037580
P10333,FBgn0002855
Q9VDV3,FBgn0038722
Q9W2A0,FBgn0034687
Q24439,FBgn0016691
Q9VNJ3,FBgn0037388
Q9VAF0,FBgn0039714
P20432,FBgn0001149
A0A0B4LG52,FBgn0034743
A1Z9F8,FBgn0033856
Q9VMP6,FBgn0031720
Q9VCN9,FBgn0039067
Q9W330,FBgn0001186
Q6NP72,FBgn0033608
C8VV60,FBgn0036286
Q9VUM4,FBgn0036490
Q9VH14,FBgn0025879
Q9VTI5,FBgn0036162
Q9VN57,FBgn0037276
Q9W0I5,FBgn0035196
Q9VQD7,FBgn0031436
A0A0B4K7Z5,FBgn0028689
Q7JWD6,FBgn0266711
Q9VE75,FBgn0028670
Q9VD32,FBgn0038944
Q7K5N8,FBgn0034229
Q9VZS5,FBgn0035422
Q24117,FBgn0011760
Q7K511,FBgn0023507
Q9V3Z4,FBgn0028690
Q9VU57,FBgn0036348
Q7JV41,FBgn0050462
Q8IPP8,FBgn0051548
M9PGG4,FBgn0000117
Q9VEE9,FBgn0038552
Q7K5K9,FBgn0034132
A1Z7K3,FBgn0033344
Q9W402,FBgn0029868
Q9VKK2,FBgn0032339
P19889,FBgn0000100
A8DZ29,FBgn0023213
Q9XYN7,FBgn0026380
Q9W229,FBgn0261596
Q8IQR9,FBgn0052192
A0A0B4LHM3,FBgn0039084
X2JCS6,FBgn0014026
Q8MLS2,FBgn0050410
Q9W1T5,FBgn0034833
A1Z6R4,FBgn0033113
Q9VP94,FBgn0037037
Q9NFT7,FBgn0042710
Q8T0N5,FBgn0033769
Q8T415,FBgn0051802
Q9VHL6,FBgn0046874
X2JIQ5,FBgn0029897
C0HKA1,FBgn0004404
Q8T3U8,FBgn0037995
Q9VVL8,FBgn0036763
Q9VNZ9,FBgn0037115
Q9VLB7,FBgn0004868
Q9W4K0,FBgn0029709
M9PBM5,FBgn0264086
Q9VDQ0,FBgn0260466
Q9W164,FBgn0029501
A0A0B4KEI0,FBgn0033020
Q9VKP3,FBgn0260454
Q9V3G9,FBgn0040371
Q9VF02,FBgn0022787
Q0E8E8,FBgn0026409
Q9U1K7,FBgn0040396
Q6NN55,FBgn0033476
Q9Y1B2,FBgn0023180
Q9W0I3,FBgn0035198
Q9VNR1,FBgn0037191
Q9VZZ6,FBgn0035355
A1ZAA9,FBgn0034081
Q8IPG9,FBgn0261822
Q8SXR1,FBgn0053126
Q8IR72,FBgn0052638
Q9VDW7,FBgn0038708
Q9XY35,FBgn0011227
